# Sexo	Idade	Posicao	Nome
0	15	65	"Marcelo•Aguirre"
0	13	28	"Ho•Gang"
0	14	45	"Luis•Omedes"
0	15	25	"Jonathan•Vilandt"
0	14	85	"Dwayne•Didon"
0	16	96	"Kareem•Valentine"
0	15	59	"Kim•Hyeon-Gi"
0	16	65	"Kanak•Jha"
0	15	30	"Yaroslav•Paniot"
0	13	26	"Jan•Hoffmann"
1	11	65	"Hend•Zaza"
1	12	29	"Beatrice•Hustiu"
1	15	65	"Sally•Yee"
1	13	83	"Antoinette•Guedia"
1	13	28	"Sonja•Morgenstern"
1	15	42	"Elena•Chatzisavva"
1	15	25	"Leticia•Cid"
1	13	79	"Adzo•Kpossi"
1	15	30	"Lee•Hyeon-Ju"
1	16	64	"Zeina•Shaban"
